1 input_1v1.asc 1 Missile against 1 target ' Missile ' Jan 10 2025 22:14:03
  0  0 50
time,lconv,vmach,pdynmc,psiblx,thtblx,phiblx,alppx,phipx,alphax,betax,ppx,qqx,rrx,SBEL1,SBEL2,SBEL3,dvbe,hbe,psivlx,thtvlx,anx,ayx,dts,thrust,gavail,gmax,trcond,dbt,thtpbx,psipbx,all,ann,dtbc,dvtbc,psiobcx,thtobcx,range,azimuthx,elevationx,dpx,dqx,drx,miss,MISS1,MISS2,MISS3,psiptx,thtptx,critmax,
2.45,0,3.89604,606088,3.91675,-22.2361,-1.34818,2.84874,-168.221,-2.78885,-0.581294,1.12174,-1.413,0.249855,1753.43,62.2218,-4593.51,1255.63,4593.51,3.23123,-19.4625,-5.0385,1.05505,9610.64,28456,44.7671,50,0,8075.06,0,0,0,0,8075.71,1491.54,-0.519606,3.51252,8075.06,3.06176,-18.737,0.0411742,0.127071,-0.0596146,0,0,0,0,0,0,200,
2.5,0,3.94268,622419,3.93094,-22.2965,-1.29009,2.7424,-168.083,-2.68338,-0.566092,1.42307,-1.02435,0.22045,1812.88,65.5965,-4572.37,1270.9,4572.37,3.26632,-19.6275,-4.97323,1.05428,9598.42,22641,44.8198,50,0,8000.07,0,0,0,0,8000.73,1506.83,-0.53033,3.55017,8000.07,3.05617,-18.7594,0.037554,0.139252,-0.0614694,0,0,0,0,0,0,200,
2.55,0,3.97394,634125,3.94144,-22.3372,-1.2172,2.63132,-167.906,-2.57299,-0.551126,1.65909,-0.569621,0.122703,1872.87,69.0371,-4550.85,1281.22,4550.85,3.29823,-19.7776,-4.86921,1.0482,9586.21,16826,44.9134,50,0,7924.45,0,0,0,0,7925.11,1517.17,-0.539092,3.5688,7924.45,3.05,-18.7809,0.0338729,0.148982,-0.0632138,0,0,0,0,0,0,200,
2.6,0,3.98964,640986,3.94692,-22.3553,-1.13012,2.51208,-167.698,-2.45447,-0.535082,1.91499,-0.17829,0.0728079,1933.17,72.5275,-4529.05,1286.53,4529.05,3.32683,-19.9132,-4.71158,1.03196,9574.01,11010.9,45.0535,50,0,7848.43,0,0,0,0,7849.1,1522.5,-0.544586,3.56553,7848.43,3.04326,-18.8015,0.0300267,0.169492,-0.0677603,0,0,0,0,0,0,200,
2.65,0,3.98961,642837,3.94982,-22.3577,-1.03112,2.39128,-167.441,-2.33413,-0.519811,2.07096,0.0750339,0.0293874,1993.55,76.0511,-4507.06,1286.78,4507.06,3.35229,-20.0347,-4.52154,1.01211,9561.8,5195.78,45.2256,50,0,7772.27,0,0,0,0,7772.95,1522.77,-0.548749,3.54703,7772.27,3.03598,-18.8215,0.0261586,0.190526,-0.0716389,0,0,0,0,0,0,200,
2.7,0,3.9735,639512,3.95064,-22.3505,-0.926796,2.27439,-167.161,-2.21759,-0.505253,2.09396,0.170312,0.0161789,2053.77,79.5909,-4485,1281.83,4485,3.37467,-20.1427,-4.29973,0.984499,9549.59,0,45.4263,50,0,7696.23,0,0,0,0,7696.91,1517.86,-0.551423,3.51939,7696.23,3.02816,-18.8409,0.0226289,0.215763,-0.0774609,0,0,0,0,0,0,200,
2.75,0,3.94963,633688,3.95332,-22.3489,-0.824746,2.17191,-166.863,-2.11512,-0.493527,2.01007,-0.0994755,0.081085,2113.65,83.1323,-4462.94,1274.48,4462.94,3.39517,-20.2421,-4.0781,0.956361,9537.39,0,45.6514,50,0,7620.52,0,0,0,0,7621.2,1510.44,-0.55562,3.4978,7620.52,3.01983,-18.8599,0.0197667,0.211946,-0.0765681,0,0,0,0,0,0,200,
2.8,0,3.92595,627933,3.95833,-22.3569,-0.730742,2.08266,-166.567,-2.02573,-0.483719,1.80085,-0.27374,0.107914,2173.14,86.6723,-4440.9,1267.19,4440.9,3.41516,-20.3384,-3.87936,0.931276,9525.19,0,45.8484,50,0,7545.18,0,0,0,0,7545.86,1503.08,-0.561392,3.48632,7545.18,3.01098,-18.8785,0.0174166,0.215714,-0.0773671,0,0,0,0,0,0,200,
2.85,0,3.90247,622243,3.9665,-22.3807,-0.650427,2.01234,-166.303,-1.95515,-0.476406,1.50938,-0.696766,0.187069,2232.26,90.2102,-4418.9,1259.96,4418.9,3.4346,-20.4314,-3.72205,0.911683,9512.99,0,46.0063,50,0,7470.21,0,0,0,0,7470.89,1495.78,-0.56918,3.49104,7470.21,3.00161,-18.8967,0.0156533,0.215361,-0.0777125,0,0,0,0,0,0,200,
2.9,0,3.87919,616619,3.97855,-22.4229,-0.587853,1.96284,-166.082,-1.90525,-0.472045,1.16674,-0.987058,0.238401,2291,93.7457,-4396.92,1252.79,4396.92,3.45376,-20.5226,-3.6083,0.898509,9500.8,0,46.1219,50,0,7395.61,0,0,0,0,7396.29,1488.54,-0.579448,3.51476,7395.61,2.99171,-18.9146,0.0145642,0.213371,-0.0777622,0,0,0,0,0,0,200,
